step,walltime,_timestamp,train/adv
11040,2025-05-08 08:53:14.815202475,1746694394.8152025,0.25162015817399214
18496,2025-05-08 08:55:24.519916057,1746694524.519916,0.3304895520641952
25344,2025-05-08 08:57:17.165134668,1746694637.1651347,0.27496564112359956
32672,2025-05-08 08:59:19.287846088,1746694759.287846,0.21606120631895862
39872,2025-05-08 09:01:25.668124914,1746694885.668125,0.17635848173664675
46688,2025-05-08 09:03:16.235276937,1746694996.235277,0.1388188461585084
54112,2025-05-08 09:05:21.886284828,1746695121.8862848,0.12443559550567819
61088,2025-05-08 09:07:22.533917188,1746695242.5339172,0.11233659987252445
68128,2025-05-08 09:09:20.314417601,1746695360.3144176,0.1081743158611723
75328,2025-05-08 09:11:18.406467438,1746695478.4064674,0.08720383691291014
82656,2025-05-08 09:13:20.728505611,1746695600.7285056,0.088327671750957
89856,2025-05-08 09:15:17.489231348,1746695717.4892313,0.08378083115857508
97248,2025-05-08 09:17:29.633993626,1746695849.6339936,0.08878516929941777
103936,2025-05-08 09:19:18.022055864,1746695958.0220559,0.08165603827988131
111296,2025-05-08 09:21:25.282309771,1746696085.2823098,0.07883061381036659
118272,2025-05-08 09:23:21.941403389,1746696201.9414034,0.07662901442515058
125472,2025-05-08 09:25:18.558314323,1746696318.5583143,0.07123940326894324
132896,2025-05-08 09:27:26.266873360,1746696446.2668734,0.08115742357190826
139840,2025-05-08 09:29:19.157450676,1746696559.1574507,0.06714601335754138
147232,2025-05-08 09:31:27.624482632,1746696687.6244826,0.0722975279532123
154112,2025-05-08 09:33:19.468652487,1746696799.4686525,0.05937259700365884
161536,2025-05-08 09:35:36.082275152,1746696936.0822752,0.06143704273412807
167840,2025-05-08 09:37:21.281805038,1746697041.281805,0.05690703987082476
175200,2025-05-08 09:39:20.604915857,1746697160.6049159,0.050925130860211894
182592,2025-05-08 09:41:27.146132946,1746697287.146133,0.04505990997654309
189600,2025-05-08 09:43:21.007849932,1746697401.00785,0.047341008164035366
196992,2025-05-08 09:45:27.875180721,1746697527.8751807,0.04442706092329317
203968,2025-05-08 09:47:22.604894161,1746697642.6048942,0.04057152004946673
211296,2025-05-08 09:49:24.854585171,1746697764.8545852,0.04012610957099686
218432,2025-05-08 09:51:26.515920877,1746697886.5159209,0.0397453841078826
225568,2025-05-08 09:53:25.670805454,1746698005.6708055,0.036391614589134376
232768,2025-05-08 09:55:22.428510904,1746698122.428511,0.03463550192148735
240192,2025-05-08 09:57:25.452435493,1746698245.4524355,0.03907954166412498
247424,2025-05-08 09:59:26.165159941,1746698366.16516,0.03627738846461824
254624,2025-05-08 10:01:24.120095491,1746698484.1200955,0.03572551561312543
261952,2025-05-08 10:03:26.771742582,1746698606.7717426,0.03224298328122604
269152,2025-05-08 10:05:23.836585999,1746698723.836586,0.03250734174003204
276480,2025-05-08 10:07:33.210857868,1746698853.2108579,0.032030518252125995
283328,2025-05-08 10:09:24.301791191,1746698964.3017912,0.03160478282860202
290752,2025-05-08 10:11:31.211064816,1746699091.2110648,0.030400338005635824
297760,2025-05-08 10:13:24.965611696,1746699204.9656117,0.029140975931765657
305184,2025-05-08 10:15:35.973476648,1746699335.9734766,0.029087946675707795
311936,2025-05-08 10:17:27.152903080,1746699447.152903,0.030665389705180096
319264,2025-05-08 10:19:25.872934580,1746699565.8729346,0.03005892460439842
326592,2025-05-08 10:21:51.394050121,1746699711.3940501,0.02866574554647193
332448,2025-05-08 10:23:26.357064962,1746699806.357065,0.027613380965853078
339872,2025-05-08 10:25:36.821751118,1746699936.821751,0.027097678610328423
346656,2025-05-08 10:27:32.782682896,1746700052.782683,0.025869132981927768
353728,2025-05-08 10:29:30.752668619,1746700170.7526686,0.025344925675260924
360928,2025-05-08 10:31:28.642021418,1746700288.6420214,0.024863699877427686
368288,2025-05-08 10:33:27.953658104,1746700407.953658,0.024481986767268215
375680,2025-05-08 10:35:33.375169992,1746700533.37517,0.023691154315158548
382656,2025-05-08 10:37:29.172171116,1746700649.172171,0.023321923772578017
390016,2025-05-08 10:39:31.859255314,1746700771.8592553,0.022136057535459733
397216,2025-05-08 10:41:29.620758533,1746700889.6207585,0.02207710429806159
404544,2025-05-08 10:43:31.980406761,1746701011.9804068,0.021427168801384185
411744,2025-05-08 10:45:28.789913177,1746701128.7899132,0.02142487068996868
419136,2025-05-08 10:47:37.662892103,1746701257.662892,0.021590978591309786
425984,2025-05-08 10:49:28.951423883,1746701368.951424,0.02160962251810331
433312,2025-05-08 10:51:37.375135183,1746701497.3751352,0.021400277242806687
440192,2025-05-08 10:53:29.445631504,1746701609.4456315,0.021243942355152305
447616,2025-05-08 10:55:29.875992060,1746701729.875992,0.020989951565658478
455040,2025-05-08 10:57:36.396228790,1746701856.3962288,0.020731827823730217
462080,2025-05-08 10:59:30.556415558,1746701970.5564156,0.02047893345350696
469472,2025-05-08 11:01:39.286769152,1746702099.2867692,0.019892837074121615
476352,2025-05-08 11:03:30.912544966,1746702210.912545,0.01972515801980355
483776,2025-05-08 11:05:37.837658882,1746702337.837659,0.019551091090385133
490720,2025-05-08 11:07:32.807611942,1746702452.807612,0.019468494501176253
498080,2025-05-08 11:09:35.553162575,1746702575.5531626,0.019319610470404806
